position_panda_joint1,position_panda_joint2,position_panda_joint3,position_panda_joint4,position_panda_joint5,position_panda_joint6,position_panda_joint7,velocity_panda_joint1,velocity_panda_joint2,velocity_panda_joint3,velocity_panda_joint4,velocity_panda_joint5,velocity_panda_joint6,velocity_panda_joint7,effort_panda_joint1,panda_joint2,effort_panda_joint3,effort_panda_joint4,panda_joint5,effort_panda_joint6,effort_panda_joint7,ee_state_position_x,ee_state_position_y,ee_state_position_z,ee_state_orientation_x,ee_state_orientation_y,ee_state_orientation_z,ee_state_orientation_w
-1.55805691504,1.53378967381,1.44612224885,-1.92701095936,-1.58449692861,1.72420941038,1.16384108695,-0.00109371021824,-0.000862738687619,0.000831481659627,-0.000399256243332,0.000173012714297,-0.000189228866441,-0.000967358312229,-0.441044151783,-28.789100647,25.7295684814,1.02696824074,0.342472851276,2.06121778488,-0.0886635929346,0.555444208929,-0.223321174686,0.179156569121,-0.921795517731,0.387487925301,-0.0102358872614,0.00643100684818
-1.55779785961,1.53378968264,1.44611257859,-1.92742161557,-1.58450322404,1.72421252943,1.16409338742,0.00914395411961,-0.000353568046062,-0.000406988079324,-0.0212954155128,0.00035607576101,0.000147873627846,0.0245634935684,1.30456137657,-28.789100647,25.9557037354,-0.262399435043,0.359867870808,2.08135938644,0.104512676597,0.555440172683,-0.222015114815,0.179161740626,-0.921821427507,0.387426091526,-0.0101842034295,0.00652390939928
-1.552048506,1.53341003413,1.44673832293,-1.94200786007,-1.58605149797,1.72424142745,1.18503299149,0.0787409975939,-0.0104816479514,0.0118746716124,-0.175944122418,-0.0214202741011,0.00370293502451,0.266670783792,1.37993979454,-28.6740493774,26.0707550049,-0.714669942856,0.246342495084,2.13171339035,0.175008282065,0.555343172156,-0.208361539861,0.179727282729,-0.921777276257,0.387515242348,-0.0105572565089,0.00686543944886
-1.54288919708,1.53252856974,1.44769474359,-1.96233391168,-1.58859122295,1.72427952627,1.21431031287,0.0927339856438,-0.00503743932433,0.00617573844353,-0.203237656301,-0.0262029892867,1.42249112798e-05,0.285148535525,-0.849674522877,-28.3685684204,25.8803253174,0.8762114048,0.219792202115,2.08135938644,0.205220684409,0.555103869735,-0.193798535367,0.18021276769,-0.921797783949,0.387450988058,-0.0109514410935,0.00711641051211
-1.53373940045,1.53208061058,1.44791838405,-1.97915587785,-1.59097758724,1.72428265014,1.2410048469,0.0952426786207,-0.000392663201512,0.000839183077417,-0.149871745603,-0.0197137368212,-0.000125141355742,0.247163742244,0.300838172436,-28.0234146118,25.7295684814,0.384268045425,0.246342495084,2.02093458176,0.265645503998,0.554911180363,-0.18135055806,0.180244516229,-0.921726301529,0.387617200503,-0.0110118186983,0.00722985429702
-1.52281691509,1.53179383467,1.44791535238,-1.99509952277,-1.59333923651,1.72427817111,1.26798778935,0.125696556777,-0.00912375745898,-0.0016987383233,-0.163131601194,-0.0199270533894,0.000281888743105,0.288210591599,0.784846961498,-27.7179336548,25.769241333,-0.337777853012,0.263737499714,1.87902784348,0.235433086753,0.554686758766,-0.167136434163,0.180257589228,-0.92177178227,0.387504485299,-0.0111145045524,0.00731594648331
-1.50929419609,1.53141250239,1.44791527958,-2.01242535915,-1.59611350351,1.72420722545,1.29867368927,0.141686510115,-0.000227894969577,-0.00198059773657,-0.169141743542,-0.0280372647417,-0.00302837324295,0.309529834701,-0.218876183033,-27.4124526978,25.7295684814,0.344595193863,0.271977245808,1.61627149582,0.255574703217,0.554351067838,-0.151728833068,0.18023448262,-0.921796699767,0.3874409831,-0.0111694916711,0.00745462069383
-1.49988004825,1.53133566372,1.44792206809,-2.02268822551,-1.59777354939,1.72398316045,1.31874061095,0.137489942099,-0.00241012728762,-0.000347571079609,-0.138390334798,-0.0202692505507,-0.00571918297503,0.292832013046,0.0786702036858,-27.1823501587,25.5788116455,-0.0719697475433,0.307682812214,1.53478956223,0.225362285972,0.554159666651,-0.142125786822,0.180205716498,-0.921731834929,0.387595304377,-0.0111648635535,0.00745991452813
-1.48488195663,1.5312639587,1.44792239813,-2.03679653821,-1.60020121397,1.72348406204,1.34804923061,0.153727344158,2.01793513924e-06,-0.000286146714293,-0.1311809597,-0.0234842753158,-0.0117815754597,0.281892021465,0.00329178571701,-26.9522476196,25.5788116455,0.118459939957,0.281132519245,1.45422315598,0.225362285972,0.553846791662,-0.12738538653,0.180159347799,-0.921796387751,0.387441748969,-0.0111383629545,0.00749983701666
-1.46856617205,1.53123974032,1.44792713831,-2.04946795681,-1.6025178717,1.72290306215,1.37723598241,0.167404385653,0.0011878672379,-0.000339094082056,-0.118565275109,-0.0202867200935,-0.00960079908196,0.288542663132,0.340511023998,-26.607093811,25.5431060791,-0.187021017075,0.289372265339,1.42401075363,0.245503887534,0.553544050651,-0.112784867487,0.180101766424,-0.921749361575,0.387555237276,-0.0110957423151,0.00747910418026
